ticker,name,sector,exchange,yfinance_symbol,universe_rank
ULTJ,PT Ultrajaya Milk Industry & Trading Company Tbk,UNKNOWN,IDX,ULTJ.JK,104
BBHI,PT Allo Bank Indonesia Tbk,UNKNOWN,IDX,BBHI.JK,105
MAPA,PT Map Aktif Adiperkasa Tbk,UNKNOWN,IDX,MAPA.JK,106
BBSI,PT Krom Bank Indonesia Tbk,UNKNOWN,IDX,BBSI.JK,107
INTP,PT Indocement Tunggal Prakarsa Tbk,UNKNOWN,IDX,INTP.JK,108
BSIM,PT Bank Sinarmas Tbk,UNKNOWN,IDX,BSIM.JK,109
ARTO,PT Bank Jago Tbk,UNKNOWN,IDX,ARTO.JK,110
HEAL,PT Medikaloka Hermina Tbk,UNKNOWN,IDX,HEAL.JK,111
CITA,PT Cita Mineral Investindo Tbk,UNKNOWN,IDX,CITA.JK,112
BNII,PT Bank Maybank Indonesia Tbk,UNKNOWN,IDX,BNII.JK,113
MCOL,PT Prima Andalan Mandiri Tbk,UNKNOWN,IDX,MCOL.JK,114
SCMA,PT Surya Citra Media Tbk,UNKNOWN,IDX,SCMA.JK,115
BSDE,PT Bumi Serpong Damai Tbk,UNKNOWN,IDX,BSDE.JK,116
JRPT,"PT Jaya Real Property, Tbk.",UNKNOWN,IDX,JRPT.JK,117
PWON,PT Pakuwon Jati Tbk,UNKNOWN,IDX,PWON.JK,118
LIFE,PT MSIG Life Insurance Indonesia Tbk,UNKNOWN,IDX,LIFE.JK,119
SMAR,PT Sinar Mas Agro Resources and Technology Tbk,UNKNOWN,IDX,SMAR.JK,120
CMNT,PT Cemindo Gemilang Tbk,UNKNOWN,IDX,CMNT.JK,121
CARE,PT Metro Healthcare Indonesia Tbk,UNKNOWN,IDX,CARE.JK,122
JARR,PT Jhonlin Agro Raya Tbk,UNKNOWN,IDX,JARR.JK,123
DEWA,PT Darma Henwa Tbk,UNKNOWN,IDX,DEWA.JK,124
DSNG,PT Dharma Satya Nusantara Tbk,UNKNOWN,IDX,DSNG.JK,125
FASW,PT Fajar Surya Wisesa Tbk,UNKNOWN,IDX,FASW.JK,126
MGLV,PT Panca Anugrah Wisesa Tbk,UNKNOWN,IDX,MGLV.JK,127
BUKA,PT Bukalapak.com Tbk.,UNKNOWN,IDX,BUKA.JK,128
RAJA,PT Rukun Raharja Tbk,UNKNOWN,IDX,RAJA.JK,129
AALI,PT Astra Agro Lestari Tbk,UNKNOWN,IDX,AALI.JK,130
ALII,PT Ancara Logistics Indonesia Tbk,UNKNOWN,IDX,ALII.JK,131
MLBI,PT Multi Bintang Indonesia Tbk,UNKNOWN,IDX,MLBI.JK,132
STTP,PT Siantar Top Tbk,UNKNOWN,IDX,STTP.JK,133
BKSL,PT Sentul City Tbk,UNKNOWN,IDX,BKSL.JK,134
GOOD,PT Garudafood Putra Putri Jaya Tbk,UNKNOWN,IDX,GOOD.JK,135
YUPI,PT Yupi Indo Jelly Gum Tbk,UNKNOWN,IDX,YUPI.JK,136
AUTO,PT Astra Otoparts Tbk,UNKNOWN,IDX,AUTO.JK,137
ADES,PT Akasha Wira International Tbk,UNKNOWN,IDX,ADES.JK,138
ESSA,PT ESSA Industries Indonesia Tbk.,UNKNOWN,IDX,ESSA.JK,139
CTRA,PT Ciputra Development Tbk,UNKNOWN,IDX,CTRA.JK,140
RMKE,PT RMK Energy Tbk,UNKNOWN,IDX,RMKE.JK,141
SMGR,PT Semen Indonesia (Persero) Tbk,UNKNOWN,IDX,SMGR.JK,142
COIN,PT Indokripto Koin Semesta Tbk,UNKNOWN,IDX,COIN.JK,143
INDY,PT. Indika Energy Tbk,UNKNOWN,IDX,INDY.JK,144
NSSS,PT Nusantara Sawit Sejahtera Tbk,UNKNOWN,IDX,NSSS.JK,145
SIDO,PT Industri Jamu dan Farmasi Sido Muncul Tbk,UNKNOWN,IDX,SIDO.JK,146
IBST,PT Inti Bangun Sejahtera Tbk,UNKNOWN,IDX,IBST.JK,147
POWR,PT Cikarang Listrindo Tbk,UNKNOWN,IDX,POWR.JK,148
PSAB,PT J Resources Asia Pasifik Tbk,UNKNOWN,IDX,PSAB.JK,149
STAA,PT Sumber Tani Agung Resources Tbk,UNKNOWN,IDX,STAA.JK,150
BIPI,PT Astrindo Nusantara Infrastruktur Tbk,UNKNOWN,IDX,BIPI.JK,151
TSPC,PT Tempo Scan Pacific Tbk,UNKNOWN,IDX,TSPC.JK,152
HRTA,PT Hartadinata Abadi Tbk,UNKNOWN,IDX,HRTA.JK,153
BFIN,PT BFI Finance Indonesia Tbk,UNKNOWN,IDX,BFIN.JK,154
BBKP,PT Bank KB Indonesia Tbk,UNKNOWN,IDX,BBKP.JK,155
RATU,PT Raharja Energi Cepu Tbk,UNKNOWN,IDX,RATU.JK,156
HRUM,PT Harum Energy Tbk,UNKNOWN,IDX,HRUM.JK,157
BSSR,PT Baramulti Suksessarana Tbk,UNKNOWN,IDX,BSSR.JK,158
WIFI,PT Solusi Sinergi Digital Tbk,UNKNOWN,IDX,WIFI.JK,159
MIDI,PT Midi Utama Indonesia Tbk,UNKNOWN,IDX,MIDI.JK,160
PRAY,PT Famon Awal Bros Sedaya Tbk,UNKNOWN,IDX,PRAY.JK,161
ADMF,PT Adira Dinamika Multi Finance Tbk,UNKNOWN,IDX,ADMF.JK,162
ELPI,PT Pelayaran Nasional Ekalya Purnamasari Tbk,UNKNOWN,IDX,ELPI.JK,163
SMSM,PT Selamat Sempurna Tbk,UNKNOWN,IDX,SMSM.JK,164
EDGE,PT Indointernet Tbk.,UNKNOWN,IDX,EDGE.JK,165
CMNP,PT Citra Marga Nusaphala Persada Tbk,UNKNOWN,IDX,CMNP.JK,166
CLEO,PT Sariguna Primatirta Tbk,UNKNOWN,IDX,CLEO.JK,167
RLCO,PT Abadi Lestari Indonesia Tbk,UNKNOWN,IDX,RLCO.JK,168
PACK,PT Abadi Nusantara Hijau Investama Tbk,UNKNOWN,IDX,PACK.JK,169
BMAS,PT Bank Maspion Indonesia Tbk,UNKNOWN,IDX,BMAS.JK,170
KPIG,PT MNC Tourism Indonesia Tbk,UNKNOWN,IDX,KPIG.JK,171
LSIP,PT Perusahaan Perkebunan London Sumatra Indonesia Tbk,UNKNOWN,IDX,LSIP.JK,172
PLIN,PT Plaza Indonesia Realty Tbk,UNKNOWN,IDX,PLIN.JK,173
INPP,PT Indonesian Paradise Property Tbk,UNKNOWN,IDX,INPP.JK,174
AGII,PT Samator Indo Gas Tbk,UNKNOWN,IDX,AGII.JK,175
SSMS,PT Sawit Sumbermas Sarana Tbk.,UNKNOWN,IDX,SSMS.JK,176
SIMP,PT Salim Ivomas Pratama Tbk,UNKNOWN,IDX,SIMP.JK,177
WIKA,PT Wijaya Karya (Persero) Tbk,UNKNOWN,IDX,WIKA.JK,178
FORE,PT Fore Kopi Indonesia Tbk,UNKNOWN,IDX,FORE.JK,179
BJBR,PT Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,UNKNOWN,IDX,BJBR.JK,180
DUTI,PT Duta Pertiwi Tbk,UNKNOWN,IDX,DUTI.JK,181
CYBR,PT ITSEC Asia Tbk,UNKNOWN,IDX,CYBR.JK,182
BBMD,PT Bank Mestika Dharma Tbk,UNKNOWN,IDX,BBMD.JK,183
BJTM,PT Bank Pembangunan Daerah Jawa Timur Tbk,UNKNOWN,IDX,BJTM.JK,184
PNLF,PT Panin Financial Tbk,UNKNOWN,IDX,PNLF.JK,185
SSIA,PT Surya Semesta Internusa Tbk,UNKNOWN,IDX,SSIA.JK,186
CLAY,PT Citra Putra Realty Tbk,UNKNOWN,IDX,CLAY.JK,187
CNMA,PT Nusantara Sejahtera Raya Tbk,UNKNOWN,IDX,CNMA.JK,188
BTPS,PT Bank BTPN Syariah Tbk,UNKNOWN,IDX,BTPS.JK,189
POLU,PT Golden Flower Tbk,UNKNOWN,IDX,POLU.JK,190
DMAS,PT Puradelta Lestari Tbk,UNKNOWN,IDX,DMAS.JK,191
SMCB,PT Solusi Bangun Indonesia Tbk,UNKNOWN,IDX,SMCB.JK,192
TLDN,PT Teladan Prima Agro Tbk,UNKNOWN,IDX,TLDN.JK,193
MTDL,PT Metrodata Electronics Tbk,UNKNOWN,IDX,MTDL.JK,194
TMAS,PT Temas Tbk.,UNKNOWN,IDX,TMAS.JK,195
OMED,PT Jayamas Medica Industri Tbk,UNKNOWN,IDX,OMED.JK,196
ABMM,PT ABM Investama Tbk,UNKNOWN,IDX,ABMM.JK,197
GMFI,PT Garuda Maintenance Facility Aero Asia Tbk,UNKNOWN,IDX,GMFI.JK,198
EPMT,PT Enseval Putera Megatrading Tbk.,UNKNOWN,IDX,EPMT.JK,199
ACES,PT Aspirasi Hidup Indonesia Tbk,UNKNOWN,IDX,ACES.JK,200
NICL,PT PAM Mineral Tbk,UNKNOWN,IDX,NICL.JK,201
ERAA,PT Erajaya Swasembada Tbk,UNKNOWN,IDX,ERAA.JK,202
WBSA,PT BSA Logistics Indonesia Tbk,UNKNOWN,IDX,WBSA.JK,203
DMND,PT Diamond Food Indonesia Tbk,UNKNOWN,IDX,DMND.JK,204
BHAT,PT Bhakti Multi Artha Tbk,UNKNOWN,IDX,BHAT.JK,205
UNIC,PT Unggul Indah Cahaya Tbk,UNKNOWN,IDX,UNIC.JK,206
EURO,PT Estee Gold Feet Tbk,UNKNOWN,IDX,EURO.JK,207
ANJT,PT Austindo Nusantara Jaya Tbk,UNKNOWN,IDX,ANJT.JK,208
SAME,PT Sarana Meditama Metropolitan Tbk,UNKNOWN,IDX,SAME.JK,209
SMMT,PT Golden Eagle Energy Tbk,UNKNOWN,IDX,SMMT.JK,210
BSWD,PT Bank of India Indonesia Tbk,UNKNOWN,IDX,BSWD.JK,211
PALM,PT Provident Investasi Bersama Tbk,UNKNOWN,IDX,PALM.JK,212
YULE,PT Yulie Sekuritas Indonesia Tbk,UNKNOWN,IDX,YULE.JK,213
SGRO,PT Prime Agri Resources Tbk,UNKNOWN,IDX,SGRO.JK,214
BULL,PT Buana Lintas Lautan Tbk,UNKNOWN,IDX,BULL.JK,215
INET,PT Sinergi Inti Andalan Prima Tbk,UNKNOWN,IDX,INET.JK,216
SHIP,PT Sillo Maritime Perdana Tbk,UNKNOWN,IDX,SHIP.JK,217
LPKR,PT Lippo Karawaci Tbk,UNKNOWN,IDX,LPKR.JK,218
BOGA,PT Apollo Global Interactive Tbk,UNKNOWN,IDX,BOGA.JK,219
ELSA,PT Elnusa Tbk,UNKNOWN,IDX,ELSA.JK,220
BALI,PT Bali Towerindo Sentra Tbk,UNKNOWN,IDX,BALI.JK,221
